Performing Artist,clean_name
Rosalie Elena,Rosalie Elena
Sakura,Sakura
Sgt. Pepper,Sgt. Peppers Beatles Tribute Band
Sgt. Peppers Beatles Tribute Band,Sgt. Peppers Beatles Tribute Band
Shane Henry,Shane Henry
Sista Jean & CB,Sista Jean + CB
Sista Jean + CB,Sista Jean + CB
Soft Streak,Soft Streak
South of Ziggy,South of Ziggy
Stix,Stix
STIX,Stix
Street Corner Renaissance,Street Corner Renaissance
Susan Hansen Latin Band,Susan Hansen Latin Band
Susie Glaze New Folk Ensemble,Susie Glaze New Folk Ensemble
Susie Hansen Latin Band,Susie Hansen Latin Band
Susie Hanson Latin Band,Susie Hansen Latin Band
Teresa James and the Rhythm Tramps,Teresa James and the Rhythm Tramps
The Bonedaddys,The Bonedaddys
The Dave Stephens Band,The Dave Stephens Band
The Echo Park Project,The Echo Park Project
The Eric Ekstrand Ensemble,The Eric Ekstrand Ensemble
The Hodads,The Hodads
The Jumpin' Joz Band,The Jumpin' Joz Band
The Kings of 88,The Kings of 88
The Lorie Andrews JazHarp Band,The Lorie Andrews JazHarp Band
The Milky Way,The Milky Way
The Singer and The Songwriter,The Singer and The Songwriter
The Urban Renewal Project,The Urban Renewal Project
The Vignatis,The Vignatis
The Wiseguys Big Band Machine,The Wiseguys Big Band Machine
Tom Nolan Band,Tom Nolan Band
Trio America,Trio America
Trio America Music,Trio America
Upstream,Upstream
UPSTREAM,Upstream
Urban Renewal Project,Urban Renewal Project
Viento Callejero,Viento Callejero
Western Standard Time Ska Orchestra,Western Standard Time Ska Orchestra
Whiskey Sunday,Whiskey Sunday
Wildwood Highway,Wildwood Highway
Windy Barnes & 3’s Co,Windy Barnes & 3’s Co
Yari Moré Latin Band,Yari More Latin Band
Yari More Latin Band,Yari More Latin Band
Yolanda Johnson,Yolanda Johnson
Yolanda Johnson & All Star Band,Yolanda Johnson
Yolanda Johnson & Her Allstar Band,Yolanda Johnson
Zetz Klezmer Ensemble,Zetz Klezmer Ensemble
